Rowid_,VALUE,COUNT,MH_EVT,MH_EVH,MH_EVC,CLASSNAME,EVT_GP,EVT_GP_N,CLASSNAMES,CLASSNAMES_1
,1,102260,3292,11,11,Open Water,11.000000000000000,Open Water,Open Water,Open Water
,2,659558,3302,110,107,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
,3,84927,3301,110,107,Boreal Aspen-Birch Forest,652.000000000000000,Aspen-Birch Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
,4,88946,3241,110,107,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
,5,308548,3302,110,108,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
,6,44890,3245,110,107,Boreal White Spruce-Fir-Hardwood Forest,693.000000000000000,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
,7,44480,3365,110,107,Boreal White Spruce-Fir Forest,693.000000000000000,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
,8,62377,3366,110,107,Laurentian-Acadian Pine-Hemlock Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
,9,10699,3301,110,108,Boreal Aspen-Birch Forest,652.000000000000000,Aspen-Birch Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
,10,43540,3481,110,107,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,694.000000000000000,Atlantic Swamp Forests,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
,11,31437,3365,110,106,Boreal White Spruce-Fir Forest,693.000000000000000,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
,12,4709,3244,110,107,Boreal Hardwood Forest,693.000000000000000,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
,13,8096,3907,15,15,Eastern Cool Temperate Urban Mixed Forest,15.000000000000000,Developed-Upland Mixed Forest,Developed-Upland Mixed Forest,Developed-Upland Mixed Forest
,14,16266,3302,110,109,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
,15,38837,3299,25,25,Developed-Roads,25.000000000000000,Developed-Roads,Developed-Roads,Developed-Roads
,16,51076,3481,110,106,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,694.000000000000000,Atlantic Swamp Forests,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
,17,15147,3302,109,106,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 5 to 10 meters,Tree Cover >= 60 and < 70%
,18,77347,3240,110,107,Laurentian-Acadian Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
,19,14242,3241,110,108,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
,20,39767,3477,110,106,Boreal Acidic Peatland Forest,683.000000000000000,Peatland Forests,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
,21,169,3444,110,108,Eastern Boreal Floodplain Woodland,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
,22,6211,3481,110,108,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,694.000000000000000,Atlantic Swamp Forests,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
,23,29865,3240,110,108,Laurentian-Acadian Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
,24,4463,3905,13,13,Eastern Cool Temperate Urban Deciduous Forest,13.000000000000000,Developed-Upland Deciduous Forest,Developed-Upland Deciduous Forest,Developed-Upland Deciduous Forest
,25,2827,3362,110,106,Laurentian-Acadian Northern Pine Forest,665.000000000000000,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
,26,1864,3294,31,31,Barren,31.000000000000000,Barren,Barren,Barren
,27,50392,3302,110,106,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
,28,24782,3477,110,107,Boreal Acidic Peatland Forest,683.000000000000000,Peatland Forests,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
,29,665,3444,110,106,Eastern Boreal Floodplain Woodland,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
,30,9140,3302,111,107,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 25 to 50 meters,Tree Cover >= 70 and < 80%
,31,1450,3344,110,107,Boreal Jack Pine-Black Spruce Forest,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
,32,1878,3239,110,106,Laurentian-Acadian Northern Pine-Oak Forest,665.000000000000000,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
,33,63,3242,110,107,Laurentian Oak Barrens,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
,34,531,3301,110,109,Boreal Aspen-Birch Forest,652.000000000000000,Aspen-Birch Forest,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
,35,4468,3906,14,14,Eastern Cool Temperate Urban Evergreen Forest,14.000000000000000,Developed-Upland Evergreen Forest,Developed-Upland Evergreen Forest,Developed-Upland Evergreen Forest
,36,7170,3244,110,106,Boreal Hardwood Forest,693.000000000000000,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
,37,14853,3301,110,106,Boreal Aspen-Birch Forest,652.000000000000000,Aspen-Birch Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
,38,5285,3366,110,108,Laurentian-Acadian Pine-Hemlock Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
,39,312,3281,107,114,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,694.000000000000000,Atlantic Swamp Forests,Shrub Height > 3.0 meters,Shrub Cover >= 40 and < 50%
,40,354,3279,107,114,Boreal Acidic Peatland Shrubland,683.000000000000000,Peatland Forests,Shrub Height > 3.0 meters,Shrub Cover >= 40 and < 50%
,41,1411,3239,110,107,Laurentian-Acadian Northern Pine-Oak Forest,665.000000000000000,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
,42,14556,3481,110,105,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,694.000000000000000,Atlantic Swamp Forests,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
,43,3969,3344,110,106,Boreal Jack Pine-Black Spruce Forest,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
,44,40610,3279,107,111,Boreal Acidic Peatland Shrubland,683.000000000000000,Peatland Forests,Shrub Height > 3.0 meters,Shrub Cover >= 10 and < 20%
,45,20356,3281,107,111,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,694.000000000000000,Atlantic Swamp Forests,Shrub Height > 3.0 meters,Shrub Cover >= 10 and < 20%
,46,4878,3241,110,106,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
,47,14704,3302,110,104,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
,48,2572,3245,110,108,Boreal White Spruce-Fir-Hardwood Forest,693.000000000000000,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
,49,451,3444,110,107,Eastern Boreal Floodplain Woodland,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
,50,6288,3302,111,108,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 25 to 50 meters,Tree Cover >= 80 and < 90%
,51,3829,3481,110,104,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,694.000000000000000,Atlantic Swamp Forests,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
,52,77,3281,107,113,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,694.000000000000000,Atlantic Swamp Forests,Shrub Height > 3.0 meters,Shrub Cover >= 30 and < 40%
,53,23316,3302,110,105,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
,54,34530,3477,110,105,Boreal Acidic Peatland Forest,683.000000000000000,Peatland Forests,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
,55,3156,3240,110,105,Laurentian-Acadian Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
,56,4165,3301,110,105,Boreal Aspen-Birch Forest,652.000000000000000,Aspen-Birch Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
,57,6233,3240,110,106,Laurentian-Acadian Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
,58,2458,3240,110,104,Laurentian-Acadian Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
,59,496,3244,110,108,Boreal Hardwood Forest,693.000000000000000,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
,60,2062,3240,110,109,Laurentian-Acadian Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
,61,1007,3301,110,103,Boreal Aspen-Birch Forest,652.000000000000000,Aspen-Birch Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
,62,6332,3245,110,106,Boreal White Spruce-Fir-Hardwood Forest,693.000000000000000,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
,63,1820,3366,109,106,Laurentian-Acadian Pine-Hemlock Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 60 and < 70%
,64,2653,3301,110,104,Boreal Aspen-Birch Forest,652.000000000000000,Aspen-Birch Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
,65,640,3241,110,109,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
,66,853,3481,110,102,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,694.000000000000000,Atlantic Swamp Forests,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
,67,3863,3908,16,16,Eastern Cool Temperate Urban Herbaceous,16.000000000000000,Developed-Upland Herbaceous,Developed-Upland Herbaceous,Developed-Upland Herbaceous
,68,341,3302,111,109,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 25 to 50 meters,Tree Cover >= 90 and <= 100%
,69,213,3281,107,112,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,694.000000000000000,Atlantic Swamp Forests,Shrub Height > 3.0 meters,Shrub Cover >= 20 and < 30%
,70,3136,3365,110,108,Boreal White Spruce-Fir Forest,693.000000000000000,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
,71,51,3279,107,113,Boreal Acidic Peatland Shrubland,683.000000000000000,Peatland Forests,Shrub Height > 3.0 meters,Shrub Cover >= 30 and < 40%
,72,121,3481,109,101,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,694.000000000000000,Atlantic Swamp Forests,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
,73,2171,3366,110,106,Laurentian-Acadian Pine-Hemlock Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
,74,3948,3909,17,17,Eastern Cool Temperate Urban Shrubland,17.000000000000000,Developed-Upland Shrubland,Developed-Upland Shrubland,Developed-Upland Shrubland
,75,39,3481,108,102,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,694.000000000000000,Atlantic Swamp Forests,Forest Height 0 to 5 meters,Tree Cover >= 20 and < 30%
,76,408,3366,110,109,Laurentian-Acadian Pine-Hemlock Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
,77,166,3934,102,121,Eastern Cool Temperate Developed Ruderal Grassland,16.000000000000000,Developed-Upland Herbaceous,Herb Height 0.5 to 1.0 meters,Herb Cover >= 10 and < 20%
,78,327,3281,104,111,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,694.000000000000000,Atlantic Swamp Forests,Shrub Height 0 to 0.5 meters,Shrub Cover >= 10 and < 20%
,79,340,3481,109,103,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,694.000000000000000,Atlantic Swamp Forests,Forest Height 5 to 10 meters,Tree Cover >= 30 and < 40%
,80,500,3481,109,102,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,694.000000000000000,Atlantic Swamp Forests,Forest Height 5 to 10 meters,Tree Cover >= 20 and < 30%
,81,20,3272,107,112,Eastern Boreal Floodplain Shrubland,676.000000000000000,Jack Pine Forest,Shrub Height > 3.0 meters,Shrub Cover >= 20 and < 30%
,82,84,3344,109,103,Boreal Jack Pine-Black Spruce Forest,676.000000000000000,Jack Pine Forest,Forest Height 5 to 10 meters,Tree Cover >= 30 and < 40%
,83,1677,3362,110,107,Laurentian-Acadian Northern Pine Forest,665.000000000000000,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
,84,2595,3344,110,105,Boreal Jack Pine-Black Spruce Forest,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
,85,13,3279,105,112,Boreal Acidic Peatland Shrubland,683.000000000000000,Peatland Forests,Shrub Height 0.5 to 1.0 meter,Shrub Cover >= 20 and < 30%
,86,1277,3241,110,105,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
,87,1136,3241,110,104,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
,88,4668,3477,110,108,Boreal Acidic Peatland Forest,683.000000000000000,Peatland Forests,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
,89,135,3279,104,111,Boreal Acidic Peatland Shrubland,683.000000000000000,Peatland Forests,Shrub Height 0 to 0.5 meters,Shrub Cover >= 10 and < 20%
,90,40,3279,105,111,Boreal Acidic Peatland Shrubland,683.000000000000000,Peatland Forests,Shrub Height 0.5 to 1.0 meter,Shrub Cover >= 10 and < 20%
,91,98,3281,105,111,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,694.000000000000000,Atlantic Swamp Forests,Shrub Height 0.5 to 1.0 meter,Shrub Cover >= 10 and < 20%
,92,2565,3191,102,125,Recently Logged-Herb and Grass Cover,710.000000000000000,Transitional Herbacous Vegetation,Herb Height 0.5 to 1.0 meters,Herb Cover >= 50 and < 60%
,93,443,3366,110,104,Laurentian-Acadian Pine-Hemlock Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
,94,5110,3302,110,103,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
,95,5612,3297,23,23,Developed-Medium Intensity,23.000000000000000,Developed-Medium Intensity,Developed - Medium Intensity,Developed - Medium Intensity
,96,158,3366,109,102,Laurentian-Acadian Pine-Hemlock Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 20 and < 30%
,97,685,3366,110,105,Laurentian-Acadian Pine-Hemlock Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
,98,41,3481,109,105,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,694.000000000000000,Atlantic Swamp Forests,Forest Height 5 to 10 meters,Tree Cover >= 50 and < 60%
,99,114,3344,110,108,Boreal Jack Pine-Black Spruce Forest,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
,100,357,3241,110,103,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
,101,3671,3191,102,124,Recently Logged-Herb and Grass Cover,710.000000000000000,Transitional Herbacous Vegetation,Herb Height 0.5 to 1.0 meters,Herb Cover >= 40 and < 50%
,102,297,3934,102,125,Eastern Cool Temperate Developed Ruderal Grassland,16.000000000000000,Developed-Upland Herbaceous,Herb Height 0.5 to 1.0 meters,Herb Cover >= 50 and < 60%
,103,12430,3477,110,104,Boreal Acidic Peatland Forest,683.000000000000000,Peatland Forests,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
,104,547,3934,102,124,Eastern Cool Temperate Developed Ruderal Grassland,16.000000000000000,Developed-Upland Herbaceous,Herb Height 0.5 to 1.0 meters,Herb Cover >= 40 and < 50%
,105,35,3241,109,104,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 40 and < 50%
,106,289,3481,110,109,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,694.000000000000000,Atlantic Swamp Forests,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
,107,99,3933,107,111,Eastern Cool Temperate Developed Ruderal Shrubland,17.000000000000000,Developed-Upland Shrubland,Shrub Height > 3.0 meters,Shrub Cover >= 10 and < 20%
,108,8,3366,109,109,Laurentian-Acadian Pine-Hemlock Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 90 and <= 100%
,109,993,3240,111,107,Laurentian-Acadian Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 70 and < 80%
,110,62,3241,110,102,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
,111,130,3977,102,125,Eastern Cool Temperate Pasture and Hayland,67.000000000000000,Agricultural-Pasture and Hayland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 50 and < 60%
,112,456,3238,110,107,Laurentian-Acadian Northern Oak Forest,665.000000000000000,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
,113,10,3271,101,121,Eastern Boreal Floodplain Herbaceous,676.000000000000000,Jack Pine Forest,Herb Height 0 to 0.5 meters,Herb Cover >= 10 and < 20%
,114,12,3271,102,121,Eastern Boreal Floodplain Herbaceous,676.000000000000000,Jack Pine Forest,Herb Height 0.5 to 1.0 meters,Herb Cover >= 10 and < 20%
,115,6169,3477,110,103,Boreal Acidic Peatland Forest,683.000000000000000,Peatland Forests,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
,116,84,3366,110,103,Laurentian-Acadian Pine-Hemlock Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
,117,32,3977,102,121,Eastern Cool Temperate Pasture and Hayland,67.000000000000000,Agricultural-Pasture and Hayland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 10 and < 20%
,118,131,3278,102,123,Boreal Acidic Peatland Herbaceous,683.000000000000000,Peatland Forests,Herb Height 0.5 to 1.0 meters,Herb Cover >= 30 and < 40%
,119,104,3492,102,124,Great Lakes Coastal Marsh Herbaceous,675.000000000000000,Inland Marshes and Prairies,Herb Height 0.5 to 1.0 meters,Herb Cover >= 40 and < 50%
,120,8,3366,109,101,Laurentian-Acadian Pine-Hemlock Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
,121,147,3240,111,106,Laurentian-Acadian Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 60 and < 70%
,122,111,3272,107,111,Eastern Boreal Floodplain Shrubland,676.000000000000000,Jack Pine Forest,Shrub Height > 3.0 meters,Shrub Cover >= 10 and < 20%
,123,21,3481,109,106,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,694.000000000000000,Atlantic Swamp Forests,Forest Height 5 to 10 meters,Tree Cover >= 60 and < 70%
,124,132,3301,111,108,Boreal Aspen-Birch Forest,652.000000000000000,Aspen-Birch Forest,Forest Height 25 to 50 meters,Tree Cover >= 80 and < 90%
,125,645,3240,111,108,Laurentian-Acadian Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 80 and < 90%
,126,3054,3365,110,105,Boreal White Spruce-Fir Forest,693.000000000000000,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
,127,90,3477,109,106,Boreal Acidic Peatland Forest,683.000000000000000,Peatland Forests,Forest Height 5 to 10 meters,Tree Cover >= 60 and < 70%
,128,1,3366,108,106,Laurentian-Acadian Pine-Hemlock Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 0 to 5 meters,Tree Cover >= 60 and < 70%
,129,50,3934,101,121,Eastern Cool Temperate Developed Ruderal Grassland,16.000000000000000,Developed-Upland Herbaceous,Herb Height 0 to 0.5 meters,Herb Cover >= 10 and < 20%
,130,4,3302,108,108,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 0 to 5 meters,Tree Cover >= 80 and < 90%
,131,5,3444,111,107,Eastern Boreal Floodplain Woodland,676.000000000000000,Jack Pine Forest,Forest Height 25 to 50 meters,Tree Cover >= 70 and < 80%
,132,667,3240,110,103,Laurentian-Acadian Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
,133,181,3977,102,124,Eastern Cool Temperate Pasture and Hayland,67.000000000000000,Agricultural-Pasture and Hayland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 40 and < 50%
,134,39,3238,110,108,Laurentian-Acadian Northern Oak Forest,665.000000000000000,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
,135,112,3930,110,108,Eastern Cool Temperate Developed Ruderal Deciduous Forest,13.000000000000000,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
,136,67,3366,110,102,Laurentian-Acadian Pine-Hemlock Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
,137,10,3444,110,109,Eastern Boreal Floodplain Woodland,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
,138,365,3238,110,106,Laurentian-Acadian Northern Oak Forest,665.000000000000000,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
,139,359,3301,111,107,Boreal Aspen-Birch Forest,652.000000000000000,Aspen-Birch Forest,Forest Height 25 to 50 meters,Tree Cover >= 70 and < 80%
,140,1335,3302,110,102,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
,141,107,3284,102,125,Laurentian-Acadian Herbaceous Wetlands,675.000000000000000,Inland Marshes and Prairies,Herb Height 0.5 to 1.0 meters,Herb Cover >= 50 and < 60%
,142,4,3302,108,107,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 0 to 5 meters,Tree Cover >= 70 and < 80%
