Rowid_,VALUE,COUNT,MH_EVT,MH_EVH,MH_EVC,CLASSNAME,EVT_GP,EVT_GP_N,CLASSNAMES,CLASSNAMES_1
,143,41,3302,108,106,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 0 to 5 meters,Tree Cover >= 60 and < 70%
,144,83,3934,102,122,Eastern Cool Temperate Developed Ruderal Grassland,16.000000000000000,Developed-Upland Herbaceous,Herb Height 0.5 to 1.0 meters,Herb Cover >= 20 and < 30%
,145,66,3481,111,107,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,694.000000000000000,Atlantic Swamp Forests,Forest Height 25 to 50 meters,Tree Cover >= 70 and < 80%
,146,10,3931,110,103,Eastern Cool Temperate Developed Ruderal Evergreen Forest,14.000000000000000,Developed-Upland Evergreen Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
,147,70,3930,110,102,Eastern Cool Temperate Developed Ruderal Deciduous Forest,13.000000000000000,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
,148,68,3930,110,103,Eastern Cool Temperate Developed Ruderal Deciduous Forest,13.000000000000000,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
,149,2,3301,109,108,Boreal Aspen-Birch Forest,652.000000000000000,Aspen-Birch Forest,Forest Height 5 to 10 meters,Tree Cover >= 80 and < 90%
,150,140,3934,102,123,Eastern Cool Temperate Developed Ruderal Grassland,16.000000000000000,Developed-Upland Herbaceous,Herb Height 0.5 to 1.0 meters,Herb Cover >= 30 and < 40%
,151,285,3278,102,122,Boreal Acidic Peatland Herbaceous,683.000000000000000,Peatland Forests,Herb Height 0.5 to 1.0 meters,Herb Cover >= 20 and < 30%
,152,1178,3278,102,121,Boreal Acidic Peatland Herbaceous,683.000000000000000,Peatland Forests,Herb Height 0.5 to 1.0 meters,Herb Cover >= 10 and < 20%
,153,3,3931,110,104,Eastern Cool Temperate Developed Ruderal Evergreen Forest,14.000000000000000,Developed-Upland Evergreen Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
,154,22,3932,110,103,Eastern Cool Temperate Developed Ruderal Mixed Forest,15.000000000000000,Developed-Upland Mixed Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
,155,50,3285,107,112,Laurentian-Acadian Shrub Wetlands,675.000000000000000,Inland Marshes and Prairies,Shrub Height > 3.0 meters,Shrub Cover >= 20 and < 30%
,156,18,3932,110,108,Eastern Cool Temperate Developed Ruderal Mixed Forest,15.000000000000000,Developed-Upland Mixed Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
,157,74,3444,110,105,Eastern Boreal Floodplain Woodland,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
,158,328,3284,102,126,Laurentian-Acadian Herbaceous Wetlands,675.000000000000000,Inland Marshes and Prairies,Herb Height 0.5 to 1.0 meters,Herb Cover >= 60 and < 70%
,159,21,3284,102,122,Laurentian-Acadian Herbaceous Wetlands,675.000000000000000,Inland Marshes and Prairies,Herb Height 0.5 to 1.0 meters,Herb Cover >= 20 and < 30%
,160,375,3284,101,126,Laurentian-Acadian Herbaceous Wetlands,675.000000000000000,Inland Marshes and Prairies,Herb Height 0 to 0.5 meters,Herb Cover >= 60 and < 70%
,161,8,3932,110,104,Eastern Cool Temperate Developed Ruderal Mixed Forest,15.000000000000000,Developed-Upland Mixed Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
,162,40,3240,111,109,Laurentian-Acadian Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 90 and <= 100%
,163,4858,3302,109,102,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 5 to 10 meters,Tree Cover >= 20 and < 30%
,164,75,3930,110,104,Eastern Cool Temperate Developed Ruderal Deciduous Forest,13.000000000000000,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
,165,155,3362,110,108,Laurentian-Acadian Northern Pine Forest,665.000000000000000,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
,166,3,3301,108,106,Boreal Aspen-Birch Forest,652.000000000000000,Aspen-Birch Forest,Forest Height 0 to 5 meters,Tree Cover >= 60 and < 70%
,167,32,3930,109,101,Eastern Cool Temperate Developed Ruderal Deciduous Forest,13.000000000000000,Developed-Upland Deciduous Forest,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
,168,172,3240,110,102,Laurentian-Acadian Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
,169,4,3931,110,108,Eastern Cool Temperate Developed Ruderal Evergreen Forest,14.000000000000000,Developed-Upland Evergreen Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
,170,2,3932,110,109,Eastern Cool Temperate Developed Ruderal Mixed Forest,15.000000000000000,Developed-Upland Mixed Forest,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
,171,51,3930,110,106,Eastern Cool Temperate Developed Ruderal Deciduous Forest,13.000000000000000,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
,172,5,3931,110,101,Eastern Cool Temperate Developed Ruderal Evergreen Forest,14.000000000000000,Developed-Upland Evergreen Forest,Forest Height 10 to 25 meters,Tree Cover >= 10 and < 20%
,173,28,3932,110,107,Eastern Cool Temperate Developed Ruderal Mixed Forest,15.000000000000000,Developed-Upland Mixed Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
,174,97,3930,110,107,Eastern Cool Temperate Developed Ruderal Deciduous Forest,13.000000000000000,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
,175,6,3931,110,102,Eastern Cool Temperate Developed Ruderal Evergreen Forest,14.000000000000000,Developed-Upland Evergreen Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
,176,20,3932,110,102,Eastern Cool Temperate Developed Ruderal Mixed Forest,15.000000000000000,Developed-Upland Mixed Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
,177,63,3930,110,101,Eastern Cool Temperate Developed Ruderal Deciduous Forest,13.000000000000000,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 10 and < 20%
,178,21,3977,102,123,Eastern Cool Temperate Pasture and Hayland,67.000000000000000,Agricultural-Pasture and Hayland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 30 and < 40%
,179,5,3477,109,108,Boreal Acidic Peatland Forest,683.000000000000000,Peatland Forests,Forest Height 5 to 10 meters,Tree Cover >= 80 and < 90%
,180,38,3284,102,121,Laurentian-Acadian Herbaceous Wetlands,675.000000000000000,Inland Marshes and Prairies,Herb Height 0.5 to 1.0 meters,Herb Cover >= 10 and < 20%
,181,12,3284,101,122,Laurentian-Acadian Herbaceous Wetlands,675.000000000000000,Inland Marshes and Prairies,Herb Height 0 to 0.5 meters,Herb Cover >= 20 and < 30%
,182,130,3241,109,101,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
,183,109,3284,102,124,Laurentian-Acadian Herbaceous Wetlands,675.000000000000000,Inland Marshes and Prairies,Herb Height 0.5 to 1.0 meters,Herb Cover >= 40 and < 50%
,184,20,3977,102,122,Eastern Cool Temperate Pasture and Hayland,67.000000000000000,Agricultural-Pasture and Hayland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 20 and < 30%
,185,11,3366,111,107,Laurentian-Acadian Pine-Hemlock Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 70 and < 80%
,186,53,3241,111,108,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 80 and < 90%
,187,19,3240,111,104,Laurentian-Acadian Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 40 and < 50%
,188,27,3284,101,121,Laurentian-Acadian Herbaceous Wetlands,675.000000000000000,Inland Marshes and Prairies,Herb Height 0 to 0.5 meters,Herb Cover >= 10 and < 20%
,189,45,3284,101,123,Laurentian-Acadian Herbaceous Wetlands,675.000000000000000,Inland Marshes and Prairies,Herb Height 0 to 0.5 meters,Herb Cover >= 30 and < 40%
,190,47,3278,101,124,Boreal Acidic Peatland Herbaceous,683.000000000000000,Peatland Forests,Herb Height 0 to 0.5 meters,Herb Cover >= 40 and < 50%
,191,105,3278,102,125,Boreal Acidic Peatland Herbaceous,683.000000000000000,Peatland Forests,Herb Height 0.5 to 1.0 meters,Herb Cover >= 50 and < 60%
,192,1560,3285,107,111,Laurentian-Acadian Shrub Wetlands,675.000000000000000,Inland Marshes and Prairies,Shrub Height > 3.0 meters,Shrub Cover >= 10 and < 20%
,193,2198,3278,101,126,Boreal Acidic Peatland Herbaceous,683.000000000000000,Peatland Forests,Herb Height 0 to 0.5 meters,Herb Cover >= 60 and < 70%
,194,887,3278,101,121,Boreal Acidic Peatland Herbaceous,683.000000000000000,Peatland Forests,Herb Height 0 to 0.5 meters,Herb Cover >= 10 and < 20%
,195,87,3278,102,124,Boreal Acidic Peatland Herbaceous,683.000000000000000,Peatland Forests,Herb Height 0.5 to 1.0 meters,Herb Cover >= 40 and < 50%
,196,20,3278,101,125,Boreal Acidic Peatland Herbaceous,683.000000000000000,Peatland Forests,Herb Height 0 to 0.5 meters,Herb Cover >= 50 and < 60%
,197,3162,3278,102,126,Boreal Acidic Peatland Herbaceous,683.000000000000000,Peatland Forests,Herb Height 0.5 to 1.0 meters,Herb Cover >= 60 and < 70%
,198,4,3271,101,126,Eastern Boreal Floodplain Herbaceous,676.000000000000000,Jack Pine Forest,Herb Height 0 to 0.5 meters,Herb Cover >= 60 and < 70%
,199,209,3302,111,106,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 25 to 50 meters,Tree Cover >= 60 and < 70%
,200,3,3444,111,108,Eastern Boreal Floodplain Woodland,676.000000000000000,Jack Pine Forest,Forest Height 25 to 50 meters,Tree Cover >= 80 and < 90%
,201,23,3930,109,102,Eastern Cool Temperate Developed Ruderal Deciduous Forest,13.000000000000000,Developed-Upland Deciduous Forest,Forest Height 5 to 10 meters,Tree Cover >= 20 and < 30%
,202,85,3302,111,104,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 25 to 50 meters,Tree Cover >= 40 and < 50%
,203,1,3241,109,109,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 90 and <= 100%
,204,8,3932,110,106,Eastern Cool Temperate Developed Ruderal Mixed Forest,15.000000000000000,Developed-Upland Mixed Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
,205,43,3444,110,104,Eastern Boreal Floodplain Woodland,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
,206,6,3241,109,106,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 60 and < 70%
,207,21,3477,109,107,Boreal Acidic Peatland Forest,683.000000000000000,Peatland Forests,Forest Height 5 to 10 meters,Tree Cover >= 70 and < 80%
,208,4,3931,110,107,Eastern Cool Temperate Developed Ruderal Evergreen Forest,14.000000000000000,Developed-Upland Evergreen Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
,209,265,3477,110,109,Boreal Acidic Peatland Forest,683.000000000000000,Peatland Forests,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
,210,3,3241,111,109,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 90 and <= 100%
,211,3,3932,109,103,Eastern Cool Temperate Developed Ruderal Mixed Forest,15.000000000000000,Developed-Upland Mixed Forest,Forest Height 5 to 10 meters,Tree Cover >= 30 and < 40%
,212,19,3302,109,109,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 5 to 10 meters,Tree Cover >= 90 and <= 100%
,213,37,3240,109,106,Laurentian-Acadian Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 60 and < 70%
,214,43,3239,110,103,Laurentian-Acadian Northern Pine-Oak Forest,665.000000000000000,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
,215,78,3240,109,104,Laurentian-Acadian Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 40 and < 50%
,216,18,3934,101,126,Eastern Cool Temperate Developed Ruderal Grassland,16.000000000000000,Developed-Upland Herbaceous,Herb Height 0 to 0.5 meters,Herb Cover >= 60 and < 70%
,217,76,3302,108,105,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 0 to 5 meters,Tree Cover >= 50 and < 60%
,218,634,3302,109,104,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 5 to 10 meters,Tree Cover >= 40 and < 50%
,219,685,3191,102,123,Recently Logged-Herb and Grass Cover,710.000000000000000,Transitional Herbacous Vegetation,Herb Height 0.5 to 1.0 meters,Herb Cover >= 30 and < 40%
,220,145,3239,110,108,Laurentian-Acadian Northern Pine-Oak Forest,665.000000000000000,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
,221,174,3301,110,102,Boreal Aspen-Birch Forest,652.000000000000000,Aspen-Birch Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
,222,4,3930,109,108,Eastern Cool Temperate Developed Ruderal Deciduous Forest,13.000000000000000,Developed-Upland Deciduous Forest,Forest Height 5 to 10 meters,Tree Cover >= 80 and < 90%
,223,16,3932,109,101,Eastern Cool Temperate Developed Ruderal Mixed Forest,15.000000000000000,Developed-Upland Mixed Forest,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
,224,19,3366,109,104,Laurentian-Acadian Pine-Hemlock Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 40 and < 50%
,225,1,3932,109,107,Eastern Cool Temperate Developed Ruderal Mixed Forest,15.000000000000000,Developed-Upland Mixed Forest,Forest Height 5 to 10 meters,Tree Cover >= 70 and < 80%
,226,91,3239,110,104,Laurentian-Acadian Northern Pine-Oak Forest,665.000000000000000,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
,227,3,3976,102,125,Eastern Cool Temperate Fallow/Idle Cropland,66.000000000000000,Agricultural-Fallow/Idle Cropland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 50 and < 60%
,228,1,3933,104,111,Eastern Cool Temperate Developed Ruderal Shrubland,17.000000000000000,Developed-Upland Shrubland,Shrub Height 0 to 0.5 meters,Shrub Cover >= 10 and < 20%
,229,11,3481,111,106,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,694.000000000000000,Atlantic Swamp Forests,Forest Height 25 to 50 meters,Tree Cover >= 60 and < 70%
,230,186,3362,110,105,Laurentian-Acadian Northern Pine Forest,665.000000000000000,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
,231,10,3242,110,109,Laurentian Oak Barrens,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
,232,5211,3302,109,103,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 5 to 10 meters,Tree Cover >= 30 and < 40%
,233,617,3301,109,103,Boreal Aspen-Birch Forest,652.000000000000000,Aspen-Birch Forest,Forest Height 5 to 10 meters,Tree Cover >= 30 and < 40%
,234,567,3407,110,105,Laurentian Pine Barrens,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
,235,340,3243,110,104,Laurentian Pine-Oak Barrens,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
,236,37,3238,110,104,Laurentian-Acadian Northern Oak Forest,665.000000000000000,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
,237,16,3279,104,112,Boreal Acidic Peatland Shrubland,683.000000000000000,Peatland Forests,Shrub Height 0 to 0.5 meters,Shrub Cover >= 20 and < 30%
,238,85,3284,102,123,Laurentian-Acadian Herbaceous Wetlands,675.000000000000000,Inland Marshes and Prairies,Herb Height 0.5 to 1.0 meters,Herb Cover >= 30 and < 40%
,239,45,3242,110,108,Laurentian Oak Barrens,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
,240,13,3930,110,105,Eastern Cool Temperate Developed Ruderal Deciduous Forest,13.000000000000000,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
,241,175,3242,109,102,Laurentian Oak Barrens,676.000000000000000,Jack Pine Forest,Forest Height 5 to 10 meters,Tree Cover >= 20 and < 30%
,242,3,3930,109,106,Eastern Cool Temperate Developed Ruderal Deciduous Forest,13.000000000000000,Developed-Upland Deciduous Forest,Forest Height 5 to 10 meters,Tree Cover >= 60 and < 70%
,243,71,3278,101,123,Boreal Acidic Peatland Herbaceous,683.000000000000000,Peatland Forests,Herb Height 0 to 0.5 meters,Herb Cover >= 30 and < 40%
,244,13,3481,108,103,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,694.000000000000000,Atlantic Swamp Forests,Forest Height 0 to 5 meters,Tree Cover >= 30 and < 40%
,245,3,3481,111,109,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,694.000000000000000,Atlantic Swamp Forests,Forest Height 25 to 50 meters,Tree Cover >= 90 and <= 100%
,246,597,3365,110,103,Boreal White Spruce-Fir Forest,693.000000000000000,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
,247,8,3285,107,113,Laurentian-Acadian Shrub Wetlands,675.000000000000000,Inland Marshes and Prairies,Shrub Height > 3.0 meters,Shrub Cover >= 30 and < 40%
,248,171,3278,101,122,Boreal Acidic Peatland Herbaceous,683.000000000000000,Peatland Forests,Herb Height 0 to 0.5 meters,Herb Cover >= 20 and < 30%
,249,294,3240,109,102,Laurentian-Acadian Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 20 and < 30%
,250,3,3933,106,111,Eastern Cool Temperate Developed Ruderal Shrubland,17.000000000000000,Developed-Upland Shrubland,Shrub Height 1.0 to 3.0 meters,Shrub Cover >= 10 and < 20%
,251,353,3240,109,101,Laurentian-Acadian Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
,252,31,3191,102,121,Recently Logged-Herb and Grass Cover,710.000000000000000,Transitional Herbacous Vegetation,Herb Height 0.5 to 1.0 meters,Herb Cover >= 10 and < 20%
,253,6,3285,107,114,Laurentian-Acadian Shrub Wetlands,675.000000000000000,Inland Marshes and Prairies,Shrub Height > 3.0 meters,Shrub Cover >= 40 and < 50%
,254,40,3281,106,111,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,694.000000000000000,Atlantic Swamp Forests,Shrub Height 1.0 to 3.0 meters,Shrub Cover >= 10 and < 20%
,255,47,3975,65,65,Eastern Cool Temperate Close Grown Crop,65.000000000000000,Agricultural-Close Grown Crop,NASS-Close Grown Crop,NASS-Close Grown Crop
,256,3,3976,102,124,Eastern Cool Temperate Fallow/Idle Cropland,66.000000000000000,Agricultural-Fallow/Idle Cropland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 40 and < 50%
,257,213,3281,104,115,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,694.000000000000000,Atlantic Swamp Forests,Shrub Height 0 to 0.5 meters,Shrub Cover >= 50 and < 60%
,258,1,3933,106,112,Eastern Cool Temperate Developed Ruderal Shrubland,17.000000000000000,Developed-Upland Shrubland,Shrub Height 1.0 to 3.0 meters,Shrub Cover >= 20 and < 30%
,259,278,3243,110,103,Laurentian Pine-Oak Barrens,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
,260,206,3242,110,102,Laurentian Oak Barrens,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
,261,2871,3365,108,103,Boreal White Spruce-Fir Forest,693.000000000000000,Spruce-Fir-Hardwood Forest,Forest Height 0 to 5 meters,Tree Cover >= 30 and < 40%
,262,738,3344,110,104,Boreal Jack Pine-Black Spruce Forest,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
,263,6997,3296,22,22,Developed-Low Intensity,22.000000000000000,Developed-Low Intensity,Developed - Low Intensity,Developed - Low Intensity
,264,294,3242,110,103,Laurentian Oak Barrens,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
,265,5,3471,110,107,Central Interior and Appalachian Floodplain Forest,666.000000000000000,Eastern Floodplain Forests,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
,266,166,3242,110,105,Laurentian Oak Barrens,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
,267,5,3471,110,108,Central Interior and Appalachian Floodplain Forest,666.000000000000000,Eastern Floodplain Forests,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
,268,22,3301,108,103,Boreal Aspen-Birch Forest,652.000000000000000,Aspen-Birch Forest,Forest Height 0 to 5 meters,Tree Cover >= 30 and < 40%
,269,52,3243,110,106,Laurentian Pine-Oak Barrens,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
,270,145,3407,110,103,Laurentian Pine Barrens,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
,271,13,3285,104,111,Laurentian-Acadian Shrub Wetlands,675.000000000000000,Inland Marshes and Prairies,Shrub Height 0 to 0.5 meters,Shrub Cover >= 10 and < 20%
,272,44,3481,109,104,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,694.000000000000000,Atlantic Swamp Forests,Forest Height 5 to 10 meters,Tree Cover >= 40 and < 50%
,273,351,3242,110,104,Laurentian Oak Barrens,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
,274,188,3365,110,102,Boreal White Spruce-Fir Forest,693.000000000000000,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
,275,483,3245,110,103,Boreal White Spruce-Fir-Hardwood Forest,693.000000000000000,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
,276,5,3240,108,105,Laurentian-Acadian Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 0 to 5 meters,Tree Cover >= 50 and < 60%
,277,57,3242,110,106,Laurentian Oak Barrens,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
,278,14,3444,109,102,Eastern Boreal Floodplain Woodland,676.000000000000000,Jack Pine Forest,Forest Height 5 to 10 meters,Tree Cover >= 20 and < 30%
,279,5,3930,108,102,Eastern Cool Temperate Developed Ruderal Deciduous Forest,13.000000000000000,Developed-Upland Deciduous Forest,Forest Height 0 to 5 meters,Tree Cover >= 20 and < 30%
,280,541,3499,100,100,Laurentian-Acadian Sparsely Vegetated Systems,700.000000000000000,Sparse Vegetation,Sparse Vegetation Height,Sparse Vegetation Canopy
,281,228,3494,110,105,Laurentian-Acadian Forested Wetlands,675.000000000000000,Inland Marshes and Prairies,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
,282,143,3244,110,103,Boreal Hardwood Forest,693.000000000000000,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
,283,60,3494,110,107,Laurentian-Acadian Forested Wetlands,675.000000000000000,Inland Marshes and Prairies,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
