VALUE,COUNT,EVTname,EVTgroupname,EVH,EVC
143,41,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 0 to 5 meters,Tree Cover >= 60 and < 70%
144,83,Eastern Cool Temperate Developed Ruderal Grassland,Developed-Upland Herbaceous,Herb Height 0.5 to 1.0 meters,Herb Cover >= 20 and < 30%
145,66,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Atlantic Swamp Forests,Forest Height 25 to 50 meters,Tree Cover >= 70 and < 80%
146,10,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed-Upland Evergreen Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
147,70,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
148,68,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
149,2,Boreal Aspen-Birch Forest,Aspen-Birch Forest,Forest Height 5 to 10 meters,Tree Cover >= 80 and < 90%
150,140,Eastern Cool Temperate Developed Ruderal Grassland,Developed-Upland Herbaceous,Herb Height 0.5 to 1.0 meters,Herb Cover >= 30 and < 40%
151,285,Boreal Acidic Peatland Herbaceous,Peatland Forests,Herb Height 0.5 to 1.0 meters,Herb Cover >= 20 and < 30%
152,1178,Boreal Acidic Peatland Herbaceous,Peatland Forests,Herb Height 0.5 to 1.0 meters,Herb Cover >= 10 and < 20%
153,3,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed-Upland Evergreen Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
154,22,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed-Upland Mixed Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
155,50,Laurentian-Acadian Shrub Wetlands,Inland Marshes and Prairies,Shrub Height > 3.0 meters,Shrub Cover >= 20 and < 30%
156,18,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed-Upland Mixed Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
157,74,Eastern Boreal Floodplain Woodland,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
158,328,Laurentian-Acadian Herbaceous Wetlands,Inland Marshes and Prairies,Herb Height 0.5 to 1.0 meters,Herb Cover >= 60 and < 70%
159,21,Laurentian-Acadian Herbaceous Wetlands,Inland Marshes and Prairies,Herb Height 0.5 to 1.0 meters,Herb Cover >= 20 and < 30%
160,375,Laurentian-Acadian Herbaceous Wetlands,Inland Marshes and Prairies,Herb Height 0 to 0.5 meters,Herb Cover >= 60 and < 70%
161,8,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed-Upland Mixed Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
162,40,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 90 and <= 100%
163,4858,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 5 to 10 meters,Tree Cover >= 20 and < 30%
164,75,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
165,155,Laurentian-Acadian Northern Pine Forest,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
166,3,Boreal Aspen-Birch Forest,Aspen-Birch Forest,Forest Height 0 to 5 meters,Tree Cover >= 60 and < 70%
167,32,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
168,172,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
169,4,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed-Upland Evergreen Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
170,2,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed-Upland Mixed Forest,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
171,51,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
172,5,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed-Upland Evergreen Forest,Forest Height 10 to 25 meters,Tree Cover >= 10 and < 20%
173,28,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed-Upland Mixed Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
174,97,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
175,6,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed-Upland Evergreen Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
176,20,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed-Upland Mixed Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
177,63,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 10 and < 20%
178,21,Eastern Cool Temperate Pasture and Hayland,Agricultural-Pasture and Hayland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 30 and < 40%
179,5,Boreal Acidic Peatland Forest,Peatland Forests,Forest Height 5 to 10 meters,Tree Cover >= 80 and < 90%
180,38,Laurentian-Acadian Herbaceous Wetlands,Inland Marshes and Prairies,Herb Height 0.5 to 1.0 meters,Herb Cover >= 10 and < 20%
181,12,Laurentian-Acadian Herbaceous Wetlands,Inland Marshes and Prairies,Herb Height 0 to 0.5 meters,Herb Cover >= 20 and < 30%
182,130,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
183,109,Laurentian-Acadian Herbaceous Wetlands,Inland Marshes and Prairies,Herb Height 0.5 to 1.0 meters,Herb Cover >= 40 and < 50%
184,20,Eastern Cool Temperate Pasture and Hayland,Agricultural-Pasture and Hayland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 20 and < 30%
185,11,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 70 and < 80%
186,53,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 80 and < 90%
187,19,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 40 and < 50%
188,27,Laurentian-Acadian Herbaceous Wetlands,Inland Marshes and Prairies,Herb Height 0 to 0.5 meters,Herb Cover >= 10 and < 20%
189,45,Laurentian-Acadian Herbaceous Wetlands,Inland Marshes and Prairies,Herb Height 0 to 0.5 meters,Herb Cover >= 30 and < 40%
190,47,Boreal Acidic Peatland Herbaceous,Peatland Forests,Herb Height 0 to 0.5 meters,Herb Cover >= 40 and < 50%
191,105,Boreal Acidic Peatland Herbaceous,Peatland Forests,Herb Height 0.5 to 1.0 meters,Herb Cover >= 50 and < 60%
192,1560,Laurentian-Acadian Shrub Wetlands,Inland Marshes and Prairies,Shrub Height > 3.0 meters,Shrub Cover >= 10 and < 20%
193,2198,Boreal Acidic Peatland Herbaceous,Peatland Forests,Herb Height 0 to 0.5 meters,Herb Cover >= 60 and < 70%
194,887,Boreal Acidic Peatland Herbaceous,Peatland Forests,Herb Height 0 to 0.5 meters,Herb Cover >= 10 and < 20%
195,87,Boreal Acidic Peatland Herbaceous,Peatland Forests,Herb Height 0.5 to 1.0 meters,Herb Cover >= 40 and < 50%
196,20,Boreal Acidic Peatland Herbaceous,Peatland Forests,Herb Height 0 to 0.5 meters,Herb Cover >= 50 and < 60%
197,3162,Boreal Acidic Peatland Herbaceous,Peatland Forests,Herb Height 0.5 to 1.0 meters,Herb Cover >= 60 and < 70%
198,4,Eastern Boreal Floodplain Herbaceous,Jack Pine Forest,Herb Height 0 to 0.5 meters,Herb Cover >= 60 and < 70%
199,209,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 25 to 50 meters,Tree Cover >= 60 and < 70%
200,3,Eastern Boreal Floodplain Woodland,Jack Pine Forest,Forest Height 25 to 50 meters,Tree Cover >= 80 and < 90%
201,23,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest,Forest Height 5 to 10 meters,Tree Cover >= 20 and < 30%
202,85,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 25 to 50 meters,Tree Cover >= 40 and < 50%
203,1,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 90 and <= 100%
204,8,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed-Upland Mixed Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
205,43,Eastern Boreal Floodplain Woodland,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
206,6,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 60 and < 70%
207,21,Boreal Acidic Peatland Forest,Peatland Forests,Forest Height 5 to 10 meters,Tree Cover >= 70 and < 80%
208,4,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed-Upland Evergreen Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
209,265,Boreal Acidic Peatland Forest,Peatland Forests,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
210,3,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 90 and <= 100%
211,3,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed-Upland Mixed Forest,Forest Height 5 to 10 meters,Tree Cover >= 30 and < 40%
212,19,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 5 to 10 meters,Tree Cover >= 90 and <= 100%
213,37,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 60 and < 70%
214,43,Laurentian-Acadian Northern Pine-Oak Forest,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
215,78,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 40 and < 50%
216,18,Eastern Cool Temperate Developed Ruderal Grassland,Developed-Upland Herbaceous,Herb Height 0 to 0.5 meters,Herb Cover >= 60 and < 70%
217,76,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 0 to 5 meters,Tree Cover >= 50 and < 60%
218,634,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 5 to 10 meters,Tree Cover >= 40 and < 50%
219,685,Recently Logged-Herb and Grass Cover,Transitional Herbacous Vegetation,Herb Height 0.5 to 1.0 meters,Herb Cover >= 30 and < 40%
220,145,Laurentian-Acadian Northern Pine-Oak Forest,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
221,174,Boreal Aspen-Birch Forest,Aspen-Birch Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
222,4,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest,Forest Height 5 to 10 meters,Tree Cover >= 80 and < 90%
223,16,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed-Upland Mixed Forest,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
224,19,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 40 and < 50%
225,1,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed-Upland Mixed Forest,Forest Height 5 to 10 meters,Tree Cover >= 70 and < 80%
226,91,Laurentian-Acadian Northern Pine-Oak Forest,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
227,3,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural-Fallow/Idle Cropland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 50 and < 60%
228,1,Eastern Cool Temperate Developed Ruderal Shrubland,Developed-Upland Shrubland,Shrub Height 0 to 0.5 meters,Shrub Cover >= 10 and < 20%
229,11,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Atlantic Swamp Forests,Forest Height 25 to 50 meters,Tree Cover >= 60 and < 70%
230,186,Laurentian-Acadian Northern Pine Forest,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
231,10,Laurentian Oak Barrens,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
232,5211,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 5 to 10 meters,Tree Cover >= 30 and < 40%
233,617,Boreal Aspen-Birch Forest,Aspen-Birch Forest,Forest Height 5 to 10 meters,Tree Cover >= 30 and < 40%
234,567,Laurentian Pine Barrens,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
235,340,Laurentian Pine-Oak Barrens,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
236,37,Laurentian-Acadian Northern Oak Forest,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
237,16,Boreal Acidic Peatland Shrubland,Peatland Forests,Shrub Height 0 to 0.5 meters,Shrub Cover >= 20 and < 30%
238,85,Laurentian-Acadian Herbaceous Wetlands,Inland Marshes and Prairies,Herb Height 0.5 to 1.0 meters,Herb Cover >= 30 and < 40%
239,45,Laurentian Oak Barrens,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
240,13,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
241,175,Laurentian Oak Barrens,Jack Pine Forest,Forest Height 5 to 10 meters,Tree Cover >= 20 and < 30%
242,3,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest,Forest Height 5 to 10 meters,Tree Cover >= 60 and < 70%
243,71,Boreal Acidic Peatland Herbaceous,Peatland Forests,Herb Height 0 to 0.5 meters,Herb Cover >= 30 and < 40%
244,13,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Atlantic Swamp Forests,Forest Height 0 to 5 meters,Tree Cover >= 30 and < 40%
245,3,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Atlantic Swamp Forests,Forest Height 25 to 50 meters,Tree Cover >= 90 and <= 100%
246,597,Boreal White Spruce-Fir Forest,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
247,8,Laurentian-Acadian Shrub Wetlands,Inland Marshes and Prairies,Shrub Height > 3.0 meters,Shrub Cover >= 30 and < 40%
248,171,Boreal Acidic Peatland Herbaceous,Peatland Forests,Herb Height 0 to 0.5 meters,Herb Cover >= 20 and < 30%
249,294,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 20 and < 30%
250,3,Eastern Cool Temperate Developed Ruderal Shrubland,Developed-Upland Shrubland,Shrub Height 1.0 to 3.0 meters,Shrub Cover >= 10 and < 20%
251,353,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
252,31,Recently Logged-Herb and Grass Cover,Transitional Herbacous Vegetation,Herb Height 0.5 to 1.0 meters,Herb Cover >= 10 and < 20%
253,6,Laurentian-Acadian Shrub Wetlands,Inland Marshes and Prairies,Shrub Height > 3.0 meters,Shrub Cover >= 40 and < 50%
254,40,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,Atlantic Swamp Forests,Shrub Height 1.0 to 3.0 meters,Shrub Cover >= 10 and < 20%
255,47,Eastern Cool Temperate Close Grown Crop,Agricultural-Close Grown Crop,NASS-Close Grown Crop,NASS-Close Grown Crop
256,3,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural-Fallow/Idle Cropland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 40 and < 50%
257,213,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,Atlantic Swamp Forests,Shrub Height 0 to 0.5 meters,Shrub Cover >= 50 and < 60%
258,1,Eastern Cool Temperate Developed Ruderal Shrubland,Developed-Upland Shrubland,Shrub Height 1.0 to 3.0 meters,Shrub Cover >= 20 and < 30%
259,278,Laurentian Pine-Oak Barrens,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
260,206,Laurentian Oak Barrens,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
261,2871,Boreal White Spruce-Fir Forest,Spruce-Fir-Hardwood Forest,Forest Height 0 to 5 meters,Tree Cover >= 30 and < 40%
262,738,Boreal Jack Pine-Black Spruce Forest,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
263,6997,Developed-Low Intensity,Developed-Low Intensity,Developed - Low Intensity,Developed - Low Intensity
264,294,Laurentian Oak Barrens,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
265,5,Central Interior and Appalachian Floodplain Forest,Eastern Floodplain Forests,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
266,166,Laurentian Oak Barrens,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
267,5,Central Interior and Appalachian Floodplain Forest,Eastern Floodplain Forests,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
268,22,Boreal Aspen-Birch Forest,Aspen-Birch Forest,Forest Height 0 to 5 meters,Tree Cover >= 30 and < 40%
269,52,Laurentian Pine-Oak Barrens,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
270,145,Laurentian Pine Barrens,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
271,13,Laurentian-Acadian Shrub Wetlands,Inland Marshes and Prairies,Shrub Height 0 to 0.5 meters,Shrub Cover >= 10 and < 20%
272,44,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Atlantic Swamp Forests,Forest Height 5 to 10 meters,Tree Cover >= 40 and < 50%
273,351,Laurentian Oak Barrens,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
274,188,Boreal White Spruce-Fir Forest,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
275,483,Boreal White Spruce-Fir-Hardwood Forest,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
276,5,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 0 to 5 meters,Tree Cover >= 50 and < 60%
277,57,Laurentian Oak Barrens,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
278,14,Eastern Boreal Floodplain Woodland,Jack Pine Forest,Forest Height 5 to 10 meters,Tree Cover >= 20 and < 30%
279,5,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest,Forest Height 0 to 5 meters,Tree Cover >= 20 and < 30%
280,541,Laurentian-Acadian Sparsely Vegetated Systems,Sparse Vegetation,Sparse Vegetation Height,Sparse Vegetation Canopy
281,228,Laurentian-Acadian Forested Wetlands,Inland Marshes and Prairies,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
282,143,Boreal Hardwood Forest,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
283,60,Laurentian-Acadian Forested Wetlands,Inland Marshes and Prairies,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
