VALUE,COUNT,EVTname,EVTgroupname,EVH,EVC
427,1,Boreal Jack Pine-Black Spruce Forest,Jack Pine Forest,Forest Height 0 to 5 meters,Tree Cover >= 40 and < 50%
428,3,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed-Upland Mixed Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
429,2,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural-Fallow/Idle Cropland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 60 and < 70%
430,3,Laurentian-Acadian Floodplain Herbaceous,Eastern Floodplain Forests,Herb Height 0 to 0.5 meters,Herb Cover >= 60 and < 70%
431,4,Laurentian-Acadian Floodplain Herbaceous,Eastern Floodplain Forests,Herb Height 0.5 to 1.0 meters,Herb Cover >= 60 and < 70%
432,5,Eastern Boreal Floodplain Woodland,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 10 and < 20%
433,28,Laurentian-Acadian Forested Wetlands,Inland Marshes and Prairies,Forest Height 5 to 10 meters,Tree Cover >= 30 and < 40%
434,1,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest,Forest Height 25 to 50 meters,Tree Cover >= 80 and < 90%
435,8,Boreal Jack Pine-Black Spruce Forest,Jack Pine Forest,Forest Height 0 to 5 meters,Tree Cover >= 10 and < 20%
436,4,Boreal Aspen-Birch Forest,Aspen-Birch Forest,Forest Height 0 to 5 meters,Tree Cover >= 40 and < 50%
437,28,Laurentian-Acadian Northern Pine Forest,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
438,140,Boreal White Spruce-Fir-Hardwood Forest,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
439,3,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed-Upland Evergreen Forest,Forest Height 0 to 5 meters,Tree Cover >= 10 and < 20%
440,20,Laurentian-Acadian Northern Pine Forest,Red Pine-White Pine Forest and Woodland,Forest Height 5 to 10 meters,Tree Cover >= 30 and < 40%
441,1,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 90 and <= 100%
442,65,Recently Logged-Herb and Grass Cover,Transitional Herbacous Vegetation,Herb Height 0.5 to 1.0 meters,Herb Cover >= 60 and < 70%
443,67,Laurentian Pine Barrens,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
444,52,Boreal White Spruce-Fir-Hardwood Forest,Spruce-Fir-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 40 and < 50%
445,1,Recently Logged-Herb and Grass Cover,Transitional Herbacous Vegetation,Herb Height 0 to 0.5 meters,Herb Cover >= 40 and < 50%
446,3,Laurentian-Acadian Floodplain Forest,Eastern Floodplain Forests,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
447,1,Laurentian-Acadian Floodplain Forest,Eastern Floodplain Forests,Forest Height 5 to 10 meters,Tree Cover >= 50 and < 60%
448,5,Laurentian-Acadian Floodplain Forest,Eastern Floodplain Forests,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
449,4,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 25 to 50 meters,Tree Cover >= 10 and < 20%
450,2,Laurentian Oak Barrens,Jack Pine Forest,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
451,14,Great Lakes Coastal Marsh Herbaceous,Inland Marshes and Prairies,Herb Height 0 to 0.5 meters,Herb Cover >= 30 and < 40%
452,31,Managed Tree Plantation-Northern and Central Hardwood and Conifer Plantation Group,Managed Tree Plantation,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
453,1,Boreal Jack Pine-Black Spruce Forest,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 10 and < 20%
454,6,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed-Upland Evergreen Forest,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
455,3,Laurentian-Acadian Northern Pine-Oak Forest,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
456,7,Great Lakes Coastal Marsh Herbaceous,Inland Marshes and Prairies,Herb Height 0.5 to 1.0 meters,Herb Cover >= 30 and < 40%
457,4,Managed Tree Plantation-Northern and Central Hardwood and Conifer Plantation Group,Managed Tree Plantation,Forest Height 0 to 5 meters,Tree Cover >= 30 and < 40%
458,1,Managed Tree Plantation-Northern and Central Hardwood and Conifer Plantation Group,Managed Tree Plantation,Forest Height 0 to 5 meters,Tree Cover >= 40 and < 50%
459,7,Laurentian Pine Barrens,Jack Pine Forest,Forest Height 0 to 5 meters,Tree Cover >= 30 and < 40%
460,1,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Atlantic Swamp Forests,Forest Height 25 to 50 meters,Tree Cover >= 50 and < 60%
461,2,Boreal Acidic Peatland Forest,Peatland Forests,Forest Height 25 to 50 meters,Tree Cover >= 50 and < 60%
462,39,Boreal Acidic Peatland Forest,Peatland Forests,Forest Height 25 to 50 meters,Tree Cover >= 80 and < 90%
463,7,Eastern Cool Temperate Row Crop,Agricultural-Row Crop,NASS-Row Crop,NASS-Row Crop
464,1,Boreal White Spruce-Fir Forest,Spruce-Fir-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 60 and < 70%
465,51,Boreal Acidic Peatland Forest,Peatland Forests,Forest Height 25 to 50 meters,Tree Cover >= 70 and < 80%
466,34,Eastern Cool Temperate Wheat,Agricultural-Wheat,NASS-Wheat,NASS-Wheat
467,2,Laurentian Pine-Oak Barrens,Jack Pine Forest,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
468,4,Boreal Hardwood Forest,Spruce-Fir-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 80 and < 90%
469,2,Eastern Boreal Floodplain Woodland,Jack Pine Forest,Forest Height 0 to 5 meters,Tree Cover >= 20 and < 30%
470,3,Eastern Boreal Floodplain Woodland,Jack Pine Forest,Forest Height 0 to 5 meters,Tree Cover >= 30 and < 40%
471,13,Boreal Acidic Peatland Herbaceous,Peatland Forests,Herb Height 0.5 to 1.0 meters,Herb Cover >= 70 and < 80%
472,3,Eastern Boreal Floodplain Herbaceous,Jack Pine Forest,Herb Height 0.5 to 1.0 meters,Herb Cover >= 60 and < 70%
473,14,Boreal Acidic Peatland Forest,Peatland Forests,Forest Height 0 to 5 meters,Tree Cover >= 40 and < 50%
474,11,Laurentian-Acadian Forested Wetlands,Inland Marshes and Prairies,Forest Height 10 to 25 meters,Tree Cover >= 10 and < 20%
475,1,Laurentian-Acadian Forested Wetlands,Inland Marshes and Prairies,Forest Height 0 to 5 meters,Tree Cover >= 40 and < 50%
476,2,Boreal Aspen-Birch Forest,Aspen-Birch Forest,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
477,5,Laurentian-Acadian Northern Pine Forest,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
478,1,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 40 and < 50%
479,1,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 60 and < 70%
480,1,Boreal Hardwood Forest,Spruce-Fir-Hardwood Forest,Forest Height 0 to 5 meters,Tree Cover >= 30 and < 40%
481,6,Laurentian-Acadian Forested Wetlands,Inland Marshes and Prairies,Forest Height 0 to 5 meters,Tree Cover >= 10 and < 20%
482,5,Boreal Acidic Peatland Forest,Peatland Forests,Forest Height 0 to 5 meters,Tree Cover >= 60 and < 70%
483,1,Central Interior and Appalachian Swamp Forest,Atlantic Swamp Forests,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
484,1,Boreal White Spruce-Fir Forest,Spruce-Fir-Hardwood Forest,Forest Height 0 to 5 meters,Tree Cover >= 50 and < 60%
485,1,Laurentian-Acadian Northern Pine Forest,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
486,4,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,Atlantic Swamp Forests,Shrub Height 0.5 to 1.0 meter,Shrub Cover >= 20 and < 30%
487,6,Laurentian-Acadian Shrub Wetlands,Inland Marshes and Prairies,Shrub Height 0 to 0.5 meters,Shrub Cover >= 20 and < 30%
488,12,Laurentian-Acadian Northern Pine-Oak Forest,Red Pine-White Pine Forest and Woodland,Forest Height 5 to 10 meters,Tree Cover >= 30 and < 40%
489,1,Eastern Boreal Floodplain Herbaceous,Jack Pine Forest,Herb Height 0.5 to 1.0 meters,Herb Cover >= 20 and < 30%
490,1,Laurentian-Acadian Northern Pine-Oak Forest,Red Pine-White Pine Forest and Woodland,Forest Height 5 to 10 meters,Tree Cover >= 20 and < 30%
491,9,Boreal Acidic Peatland Forest,Peatland Forests,Forest Height 0 to 5 meters,Tree Cover >= 50 and < 60%
492,79,Boreal White Spruce-Fir-Hardwood Forest,Spruce-Fir-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
493,13,Laurentian-Acadian Forested Wetlands,Inland Marshes and Prairies,Forest Height 5 to 10 meters,Tree Cover >= 20 and < 30%
494,7,Boreal Aspen-Birch Forest,Aspen-Birch Forest,Forest Height 25 to 50 meters,Tree Cover >= 90 and <= 100%
495,1,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural-Fallow/Idle Cropland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 10 and < 20%
496,2,Laurentian-Acadian Herbaceous Wetlands,Inland Marshes and Prairies,Herb Height 0 to 0.5 meters,Herb Cover >= 50 and < 60%
497,2,Boreal White Spruce-Fir Forest,Spruce-Fir-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 40 and < 50%
498,7,Boreal Hardwood Forest,Spruce-Fir-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 60 and < 70%
499,1,Eastern Cool Temperate Pasture and Hayland,Agricultural-Pasture and Hayland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 60 and < 70%
500,10,Laurentian-Acadian Forested Wetlands,Inland Marshes and Prairies,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
501,4,Eastern Cool Temperate Developed Ruderal Grassland,Developed-Upland Herbaceous,Herb Height 0 to 0.5 meters,Herb Cover >= 40 and < 50%
502,1,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed-Upland Evergreen Forest,Forest Height 0 to 5 meters,Tree Cover >= 20 and < 30%
503,3,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed-Upland Evergreen Forest,Forest Height 5 to 10 meters,Tree Cover >= 20 and < 30%
504,1,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed-Upland Evergreen Forest,Forest Height 5 to 10 meters,Tree Cover >= 40 and < 50%
505,3,Boreal Acidic Peatland Forest,Peatland Forests,Forest Height 25 to 50 meters,Tree Cover >= 40 and < 50%
506,2,Laurentian-Acadian Northern Oak Forest,Red Pine-White Pine Forest and Woodland,Forest Height 5 to 10 meters,Tree Cover >= 30 and < 40%
507,6,Boreal Acidic Peatland Shrubland,Peatland Forests,Shrub Height 0 to 0.5 meters,Shrub Cover >= 40 and < 50%
508,3,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,Atlantic Swamp Forests,Shrub Height 0 to 0.5 meters,Shrub Cover >= 40 and < 50%
509,15,Boreal Acidic Peatland Shrubland,Peatland Forests,Shrub Height 0 to 0.5 meters,Shrub Cover >= 30 and < 40%
510,2,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,Atlantic Swamp Forests,Shrub Height 1.0 to 3.0 meters,Shrub Cover >= 40 and < 50%
511,1,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,Atlantic Swamp Forests,Shrub Height 1.0 to 3.0 meters,Shrub Cover >= 20 and < 30%
512,26,Laurentian-Acadian Herbaceous Wetlands,Inland Marshes and Prairies,Herb Height 0 to 0.5 meters,Herb Cover >= 40 and < 50%
513,1,Boreal White Spruce-Fir Forest,Spruce-Fir-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 30 and < 40%
514,1,Boreal White Spruce-Fir Forest,Spruce-Fir-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 50 and < 60%
515,1,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,Atlantic Swamp Forests,Shrub Height 0.5 to 1.0 meter,Shrub Cover >= 30 and < 40%
516,1,Laurentian Shrubland Barrens,Jack Pine Forest,Shrub Height 1.0 to 3.0 meters,Shrub Cover >= 10 and < 20%
517,11,Boreal Aspen-Birch Forest,Aspen-Birch Forest,Forest Height 25 to 50 meters,Tree Cover >= 50 and < 60%
518,12,Laurentian Shrubland Barrens,Jack Pine Forest,Shrub Height 0 to 0.5 meters,Shrub Cover >= 50 and < 60%
519,39,Recently Burned-Herb and Grass Cover,Transitional Herbacous Vegetation,Herb Height 0 to 0.5 meters,Herb Cover >= 90 and <= 100%
520,1,Laurentian Shrubland Barrens,Jack Pine Forest,Shrub Height 0 to 0.5 meters,Shrub Cover >= 30 and < 40%
521,2,Laurentian-Acadian Shrub Wetlands,Inland Marshes and Prairies,Shrub Height 0 to 0.5 meters,Shrub Cover >= 30 and < 40%
522,1,Laurentian-Acadian Northern Pine Forest,Red Pine-White Pine Forest and Woodland,Forest Height 0 to 5 meters,Tree Cover >= 30 and < 40%
523,2,Boreal Acidic Peatland Shrubland,Peatland Forests,Shrub Height 0.5 to 1.0 meter,Shrub Cover >= 40 and < 50%
524,2,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,Atlantic Swamp Forests,Shrub Height 0.5 to 1.0 meter,Shrub Cover >= 40 and < 50%
525,2,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 40 and < 50%
526,3,Boreal Aspen-Birch Forest,Aspen-Birch Forest,Forest Height 10 to 25 meters,Tree Cover >= 10 and < 20%
527,21,Managed Tree Plantation-Northern and Central Hardwood and Conifer Plantation Group,Managed Tree Plantation,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
528,2,Laurentian Pine Barrens,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 10 and < 20%
529,3,Boreal White Spruce-Fir-Hardwood Forest,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 10 and < 20%
530,3,Managed Tree Plantation-Northern and Central Hardwood and Conifer Plantation Group,Managed Tree Plantation,Forest Height 10 to 25 meters,Tree Cover >= 10 and < 20%
531,1,Laurentian-Acadian Forested Wetlands,Inland Marshes and Prairies,Forest Height 0 to 5 meters,Tree Cover >= 50 and < 60%
532,1,Laurentian-Acadian Northern Pine Forest,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 10 and < 20%
533,8,Recently Burned-Herb and Grass Cover,Transitional Herbacous Vegetation,Herb Height 0 to 0.5 meters,Herb Cover >= 50 and < 60%
534,1,Eastern Cool Temperate Developed Ruderal Grassland,Developed-Upland Herbaceous,Herb Height 0.5 to 1.0 meters,Herb Cover >= 70 and < 80%
535,4,Recently Logged-Herb and Grass Cover,Transitional Herbacous Vegetation,Herb Height 0 to 0.5 meters,Herb Cover >= 20 and < 30%
536,961,Quarries-Strip Mines-Gravel Pits,Quarries-Strip Mines-Gravel Pits,Quarries-Strip Mines-Gravel Pits,Quarries-Strip Mines-Gravel Pits
537,1,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 10 and < 20%
538,1,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural-Row Crop-Close Grown Crop,NASS-Row Crop,NASS-Row Crop
539,2,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed-Upland Evergreen Forest,Forest Height 5 to 10 meters,Tree Cover >= 30 and < 40%
540,4,Boreal Acidic Peatland Forest,Peatland Forests,Forest Height 25 to 50 meters,Tree Cover >= 60 and < 70%
541,1,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural-Fallow/Idle Cropland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 20 and < 30%
542,1,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural-Fallow/Idle Cropland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 30 and < 40%
543,2,Boreal White Spruce-Fir Forest,Spruce-Fir-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
544,1,Eastern Boreal Floodplain Herbaceous,Jack Pine Forest,Herb Height 0.5 to 1.0 meters,Herb Cover >= 30 and < 40%
545,1,Laurentian-Acadian Northern Pine-Oak Forest,Red Pine-White Pine Forest and Woodland,Forest Height 25 to 50 meters,Tree Cover >= 80 and < 90%
546,1,Central Interior and Appalachian Sparsely Vegetated Systems,Sparse Vegetation,Sparse Vegetation Height,Sparse Vegetation Canopy
547,1,Laurentian Shrubland Barrens,Jack Pine Forest,Shrub Height 0.5 to 1.0 meter,Shrub Cover >= 10 and < 20%
548,11,Boreal White Spruce-Fir Forest,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 10 and < 20%
549,1,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 20 and < 30%
550,1,Laurentian-Acadian Northern Oak Forest,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
551,11,Laurentian-Acadian Shrub Wetlands,Inland Marshes and Prairies,Shrub Height 0 to 0.5 meters,Shrub Cover >= 50 and < 60%
552,2,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed-Upland Evergreen Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
553,3,Boreal Aspen-Birch Forest,Aspen-Birch Forest,Forest Height 25 to 50 meters,Tree Cover >= 40 and < 50%
554,1,Eastern Cool Temperate Orchard,Agricultural-Orchard,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
555,1,Eastern Boreal Floodplain Herbaceous,Jack Pine Forest,Herb Height 0.5 to 1.0 meters,Herb Cover >= 50 and < 60%
556,1,Laurentian-Acadian Northern Pine Forest,Red Pine-White Pine Forest and Woodland,Forest Height 5 to 10 meters,Tree Cover >= 20 and < 30%
557,28,Boreal Jack Pine-Black Spruce Forest,Jack Pine Forest,Forest Height 5 to 10 meters,Tree Cover >= 20 and < 30%
558,1,Boreal White Spruce-Fir-Hardwood Forest,Spruce-Fir-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 60 and < 70%
559,1,Boreal White Spruce-Fir Forest,Spruce-Fir-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 80 and < 90%
560,1,Boreal White Spruce-Fir-Hardwood Forest,Spruce-Fir-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 80 and < 90%
561,1,Boreal Acidic Peatland Herbaceous,Peatland Forests,Herb Height 0 to 0.5 meters,Herb Cover >= 70 and < 80%
562,1,Boreal White Spruce-Fir-Hardwood Forest,Spruce-Fir-Hardwood Forest,Forest Height 0 to 5 meters,Tree Cover >= 60 and < 70%
563,2,Boreal Hardwood Forest,Spruce-Fir-Hardwood Forest,Forest Height 0 to 5 meters,Tree Cover >= 50 and < 60%
564,1,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed-Upland Evergreen Forest,Forest Height 0 to 5 meters,Tree Cover >= 40 and < 50%
565,2,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Atlantic Swamp Forests,Forest Height 0 to 5 meters,Tree Cover >= 50 and < 60%
566,1,Eastern Cool Temperate Pasture and Hayland,Agricultural-Pasture and Hayland,Herb Height 0 to 0.5 meters,Herb Cover >= 50 and < 60%
567,1,Eastern Cool Temperate Pasture and Hayland,Agricultural-Pasture and Hayland,Herb Height 0 to 0.5 meters,Herb Cover >= 40 and < 50%
568,2,Eastern Cool Temperate Pasture and Hayland,Agricultural-Pasture and Hayland,Herb Height 0 to 0.5 meters,Herb Cover >= 60 and < 70%
569,2,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Atlantic Swamp Forests,Forest Height 10 to 25 meters,Tree Cover >= 10 and < 20%
570,1,Boreal White Spruce-Fir Forest,Spruce-Fir-Hardwood Forest,Forest Height 0 to 5 meters,Tree Cover >= 10 and < 20%
571,1,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest,Forest Height 0 to 5 meters,Tree Cover >= 30 and < 40%
